scenario,level,fold,accuracy,measles_recall,measles_precision
missing,0.0,0,0.96875,1.0,1.0
missing,0.05,0,0.9385416666666667,0.98125,0.9751552795031055
missing,0.1,0,0.8729166666666667,0.9,0.9473684210526315
missing,0.2,0,0.79375,0.73125,0.841726618705036
missing,0.3,0,0.6697916666666667,0.66875,0.823076923076923
symptom_flips,0.0,0,0.96875,1.0,1.0
symptom_flips,0.05,0,0.9489583333333333,1.0,1.0
symptom_flips,0.1,0,0.928125,1.0,0.975609756097561
symptom_flips,0.2,0,0.8697916666666666,0.99375,0.9190751445086706
symptom_flips,0.3,0,0.8260416666666667,0.9875,0.8777777777777778
numeric_noise,0.0,0,0.96875,1.0,1.0
numeric_noise,0.05,0,0.9541666666666667,0.9875,0.9349112426035503
numeric_noise,0.1,0,0.9010416666666666,0.9875,0.8061224489795918
numeric_noise,0.2,0,0.8166666666666667,0.96875,0.6981981981981982
numeric_noise,0.3,0,0.7239583333333334,0.9375,0.6048387096774194
hallmark_masked,0.0,0,0.96875,1.0,1.0
hallmark_masked,0.05,0,0.96875,1.0,1.0
hallmark_masked,0.1,0,0.96875,1.0,1.0
hallmark_masked,0.2,0,0.96875,1.0,1.0
hallmark_masked,0.3,0,0.96875,1.0,1.0
combined,0.0,0,0.96875,1.0,1.0
combined,0.05,0,0.903125,0.95,0.8786127167630058
combined,0.1,0,0.80625,0.8875,0.7513227513227513
combined,0.2,0,0.6333333333333333,0.76875,0.6180904522613065
combined,0.3,0,0.475,0.53125,0.4292929292929293
train_label_noise,0.0,0,0.96875,1.0,1.0
train_label_noise,0.05,0,0.9697916666666667,1.0,1.0
train_label_noise,0.1,0,0.9708333333333333,1.0,1.0
train_label_noise,0.2,0,0.9677083333333333,0.99375,1.0
train_label_noise,0.3,0,0.9697916666666667,1.0,0.9937888198757764
missing,0.0,1,0.9520833333333333,1.0,1.0
missing,0.05,1,0.9145833333333333,0.93125,0.9675324675324676
missing,0.1,1,0.875,0.88125,0.8980891719745223
missing,0.2,1,0.7708333333333334,0.76875,0.82
missing,0.3,1,0.6916666666666667,0.69375,0.8538461538461538
symptom_flips,0.0,1,0.9520833333333333,1.0,1.0
symptom_flips,0.05,1,0.9395833333333333,0.99375,0.99375
symptom_flips,0.1,1,0.9052083333333333,0.9875,0.9937106918238994
symptom_flips,0.2,1,0.8614583333333333,0.96875,0.9226190476190477
symptom_flips,0.3,1,0.8041666666666667,0.975,0.861878453038674
numeric_noise,0.0,1,0.9520833333333333,1.0,1.0
numeric_noise,0.05,1,0.9385416666666667,1.0,0.935672514619883
numeric_noise,0.1,1,0.8947916666666667,0.9875,0.8315789473684211
numeric_noise,0.2,1,0.815625,0.96875,0.6981981981981982
numeric_noise,0.3,1,0.7385416666666667,0.93125,0.6367521367521367
hallmark_masked,0.0,1,0.9520833333333333,1.0,1.0
hallmark_masked,0.05,1,0.9520833333333333,1.0,1.0
hallmark_masked,0.1,1,0.9520833333333333,1.0,1.0
hallmark_masked,0.2,1,0.9510416666666667,0.99375,1.0
hallmark_masked,0.3,1,0.95,0.9875,1.0
combined,0.0,1,0.9520833333333333,1.0,1.0
combined,0.05,1,0.8927083333333333,0.94375,0.8988095238095238
combined,0.1,1,0.7916666666666666,0.84375,0.8181818181818182
combined,0.2,1,0.6447916666666667,0.725,0.655367231638418
combined,0.3,1,0.5260416666666666,0.66875,0.4930875576036866
train_label_noise,0.0,1,0.9520833333333333,1.0,1.0
train_label_noise,0.05,1,0.9552083333333333,1.0,1.0
train_label_noise,0.1,1,0.9572916666666667,1.0,1.0
train_label_noise,0.2,1,0.9552083333333333,0.99375,1.0
train_label_noise,0.3,1,0.9489583333333333,0.9875,1.0
missing,0.0,2,0.9552083333333333,0.99375,1.0
missing,0.05,2,0.9135416666666667,0.95,0.9806451612903225
missing,0.1,2,0.8895833333333333,0.90625,0.9731543624161074
missing,0.2,2,0.803125,0.8375,0.9178082191780822
missing,0.3,2,0.7104166666666667,0.6625,0.8833333333333333
symptom_flips,0.0,2,0.9552083333333333,0.99375,1.0
symptom_flips,0.05,2,0.9385416666666667,0.9875,1.0
symptom_flips,0.1,2,0.9083333333333333,0.99375,0.9814814814814815
symptom_flips,0.2,2,0.871875,0.98125,0.9515151515151515
symptom_flips,0.3,2,0.7989583333333333,1.0,0.8602150537634409
numeric_noise,0.0,2,0.9552083333333333,0.99375,1.0
numeric_noise,0.05,2,0.94375,0.99375,0.9636363636363636
numeric_noise,0.1,2,0.8916666666666667,0.99375,0.8641304347826086
numeric_noise,0.2,2,0.815625,0.96875,0.7560975609756098
numeric_noise,0.3,2,0.7739583333333333,0.925,0.6948356807511737
hallmark_masked,0.0,2,0.9552083333333333,0.99375,1.0
hallmark_masked,0.05,2,0.9552083333333333,0.99375,1.0
hallmark_masked,0.1,2,0.9552083333333333,0.99375,1.0
hallmark_masked,0.2,2,0.9552083333333333,0.99375,1.0
hallmark_masked,0.3,2,0.9552083333333333,0.99375,1.0
combined,0.0,2,0.9552083333333333,0.99375,1.0
combined,0.05,2,0.884375,0.95625,0.9053254437869822
combined,0.1,2,0.821875,0.86875,0.8475609756097561
combined,0.2,2,0.609375,0.69375,0.6271186440677966
combined,0.3,2,0.5041666666666667,0.68125,0.5069767441860465
train_label_noise,0.0,2,0.9552083333333333,0.99375,1.0
train_label_noise,0.05,2,0.9552083333333333,0.99375,1.0
train_label_noise,0.1,2,0.9552083333333333,0.9875,0.9937106918238994
train_label_noise,0.2,2,0.9541666666666667,0.9875,0.9937106918238994
train_label_noise,0.3,2,0.946875,0.9875,1.0
missing,0.0,3,0.9458333333333333,1.0,1.0
missing,0.05,3,0.8895833333333333,0.93125,0.9738562091503268
missing,0.1,3,0.8770833333333333,0.9375,0.9146341463414634
missing,0.2,3,0.7854166666666667,0.825,0.8461538461538461
missing,0.3,3,0.6989583333333333,0.73125,0.8666666666666667
symptom_flips,0.0,3,0.9458333333333333,1.0,1.0
symptom_flips,0.05,3,0.9364583333333333,1.0,0.9937888198757764
symptom_flips,0.1,3,0.9135416666666667,1.0,0.9937888198757764
symptom_flips,0.2,3,0.8447916666666667,0.99375,0.9352941176470588
symptom_flips,0.3,3,0.8166666666666667,0.9875,0.8876404494382022
numeric_noise,0.0,3,0.9458333333333333,1.0,1.0
numeric_noise,0.05,3,0.9208333333333333,1.0,0.903954802259887
numeric_noise,0.1,3,0.9,1.0,0.8888888888888888
numeric_noise,0.2,3,0.80625,0.96875,0.7345971563981043
numeric_noise,0.3,3,0.7270833333333333,0.91875,0.6125
hallmark_masked,0.0,3,0.9458333333333333,1.0,1.0
hallmark_masked,0.05,3,0.9458333333333333,1.0,1.0
hallmark_masked,0.1,3,0.9458333333333333,1.0,1.0
hallmark_masked,0.2,3,0.9447916666666667,0.99375,1.0
hallmark_masked,0.3,3,0.94375,0.9875,1.0
combined,0.0,3,0.9458333333333333,1.0,1.0
combined,0.05,3,0.884375,0.9625,0.9166666666666666
combined,0.1,3,0.8020833333333334,0.88125,0.8011363636363636
combined,0.2,3,0.634375,0.78125,0.6544502617801047
combined,0.3,3,0.4864583333333333,0.625,0.4807692307692308
train_label_noise,0.0,3,0.9458333333333333,1.0,1.0
train_label_noise,0.05,3,0.9479166666666666,1.0,1.0
train_label_noise,0.1,3,0.9479166666666666,1.0,1.0
train_label_noise,0.2,3,0.95,1.0,1.0
train_label_noise,0.3,3,0.940625,1.0,1.0
missing,0.0,4,0.96875,1.0,1.0
missing,0.05,4,0.9125,0.93125,0.9371069182389937
missing,0.1,4,0.8666666666666667,0.9,0.9290322580645162
missing,0.2,4,0.8114583333333333,0.85,0.9251700680272109
missing,0.3,4,0.7010416666666667,0.7375,0.8428571428571429
symptom_flips,0.0,4,0.96875,1.0,1.0
symptom_flips,0.05,4,0.9447916666666667,0.99375,0.99375
symptom_flips,0.1,4,0.9270833333333334,0.99375,0.9695121951219512
symptom_flips,0.2,4,0.8572916666666667,1.0,0.9467455621301775
symptom_flips,0.3,4,0.8229166666666666,0.98125,0.8532608695652174
numeric_noise,0.0,4,0.96875,1.0,1.0
numeric_noise,0.05,4,0.959375,1.0,0.963855421686747
numeric_noise,0.1,4,0.9177083333333333,0.99375,0.8368421052631579
numeric_noise,0.2,4,0.840625,0.96875,0.7209302325581395
numeric_noise,0.3,4,0.74375,0.925,0.6351931330472103
hallmark_masked,0.0,4,0.96875,1.0,1.0
hallmark_masked,0.05,4,0.96875,1.0,1.0
hallmark_masked,0.1,4,0.96875,1.0,1.0
hallmark_masked,0.2,4,0.96875,1.0,1.0
hallmark_masked,0.3,4,0.9677083333333333,0.99375,1.0
combined,0.0,4,0.96875,1.0,1.0
combined,0.05,4,0.9135416666666667,0.94375,0.949685534591195
combined,0.1,4,0.8010416666666667,0.94375,0.7905759162303665
combined,0.2,4,0.6354166666666666,0.725,0.6480446927374302
combined,0.3,4,0.5302083333333333,0.64375,0.5228426395939086
train_label_noise,0.0,4,0.96875,1.0,1.0
train_label_noise,0.05,4,0.96875,1.0,1.0
train_label_noise,0.1,4,0.9645833333333333,1.0,1.0
train_label_noise,0.2,4,0.9625,1.0,1.0
train_label_noise,0.3,4,0.9677083333333333,1.0,1.0
