design,scenario,level,fold,accuracy,measles_recall,measles_precision,coverage,caught_or_referred
1 old (unknown looks like no),missing,0.0,0,0.96875,1.0,1.0,1.0,1.0
2 v2 (unknown-aware),missing,0.0,0,0.9677083333333333,1.0,1.0,1.0,1.0
3 v2 + refer if key fields unknown,missing,0.0,0,0.9677083333333333,1.0,1.0,1.0,1.0
1 old (unknown looks like no),missing,0.05,0,0.9302083333333333,0.94375,0.967948717948718,1.0,0.94375
2 v2 (unknown-aware),missing,0.05,0,0.9625,1.0,1.0,1.0,1.0
3 v2 + refer if key fields unknown,missing,0.05,0,0.9630021141649049,1.0,1.0,0.9854166666666667,1.0
1 old (unknown looks like no),missing,0.1,0,0.875,0.875,0.9032258064516129,1.0,0.875
2 v2 (unknown-aware),missing,0.1,0,0.9520833333333333,1.0,0.9937888198757764,1.0,1.0
3 v2 + refer if key fields unknown,missing,0.1,0,0.9537953795379538,1.0,1.0,0.946875,1.0
1 old (unknown looks like no),missing,0.2,0,0.7864583333333334,0.825,0.868421052631579,1.0,0.825
2 v2 (unknown-aware),missing,0.2,0,0.9083333333333333,0.9875,1.0,1.0,0.9875
3 v2 + refer if key fields unknown,missing,0.2,0,0.9241830065359478,0.991869918699187,1.0,0.796875,0.99375
1 old (unknown looks like no),missing,0.3,0,0.721875,0.6875,0.7971014492753623,1.0,0.6875
2 v2 (unknown-aware),missing,0.3,0,0.9114583333333334,0.9625,0.9808917197452229,1.0,0.9625
3 v2 + refer if key fields unknown,missing,0.3,0,0.9360730593607306,0.9714285714285714,1.0,0.684375,0.98125
1 old (unknown looks like no),combined,0.0,0,0.96875,1.0,1.0,1.0,1.0
2 v2 (unknown-aware),combined,0.0,0,0.9677083333333333,1.0,1.0,1.0,1.0
3 v2 + refer if key fields unknown,combined,0.0,0,0.9677083333333333,1.0,1.0,1.0,1.0
1 old (unknown looks like no),combined,0.05,0,0.8802083333333334,0.925,0.8604651162790697,1.0,0.925
2 v2 (unknown-aware),combined,0.05,0,0.925,1.0,0.9580838323353293,1.0,1.0
3 v2 + refer if key fields unknown,combined,0.05,0,0.9248677248677248,1.0,0.9575757575757575,0.984375,1.0
